iter	Passed	Remaining
0	60	60081
1	60	30197
2	60	20213
3	61	15220
4	61	12230
5	61	10230
6	62	8806
7	62	7736
8	62	6902
9	63	6242
10	63	5695
11	63	5244
12	63	4856
13	64	4527
14	64	4241
15	64	3989
16	65	3767
17	65	3570
18	65	3394
19	66	3235
20	66	3092
21	66	2961
22	66	2842
23	67	2733
24	67	2633
25	67	2541
26	68	2455
27	68	2377
28	68	2303
29	69	2235
30	69	2170
31	69	2109
32	70	2052
33	70	1998
34	70	1946
35	70	1898
36	71	1852
37	71	1809
38	71	1768
39	72	1729
40	72	1692
41	72	1657
42	72	1623
43	73	1591
44	73	1560
45	73	1530
46	74	1502
47	74	1475
48	74	1449
49	74	1424
50	75	1400
51	75	1379
52	75	1357
53	76	1336
54	76	1315
55	76	1295
56	77	1276
57	77	1257
58	77	1239
59	77	1221
60	78	1204
61	78	1188
62	78	1173
63	79	1158
64	79	1143
65	79	1128
66	80	1114
67	80	1098
68	80	1085
69	80	1072
70	81	1060
71	81	1048
72	81	1036
73	81	1025
74	82	1014
75	82	1003
76	82	993
77	83	983
78	83	973
79	83	964
80	84	954
81	84	945
82	84	935
83	84	926
84	85	916
85	85	908
86	85	898
87	85	890
88	86	881
89	86	874
90	86	866
91	87	859
92	87	851
93	87	845
94	87	837
95	88	830
96	88	824
97	88	817
98	89	810
99	89	804
100	89	797
101	89	790
102	90	784
103	90	778
104	90	772
105	90	767
106	91	761
107	91	755
108	91	750
109	92	745
110	92	739
111	92	734
112	92	729
113	93	724
114	93	719
115	93	713
116	93	708
117	94	704
118	94	698
119	94	694
120	94	689
121	95	685
122	95	679
123	95	675
124	95	671
125	96	667
126	96	662
127	96	658
128	96	654
129	97	650
130	97	646
131	97	643
132	98	639
133	98	635
134	98	632
135	98	628
136	99	624
137	99	620
138	99	617
139	99	613
140	100	610
141	100	607
142	100	604
143	101	600
144	101	597
145	101	594
146	101	591
147	102	588
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	567
155	104	565
156	104	562
157	105	559
158	105	556
159	105	554
160	105	551
161	106	549
162	106	546
163	106	543
164	107	541
165	107	539
166	107	536
167	107	534
168	108	531
169	108	529
170	108	527
171	109	524
172	109	522
173	109	520
174	109	518
175	110	516
176	110	513
177	110	511
178	111	509
179	111	507
180	111	504
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	113	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	115	478
194	115	476
195	115	474
196	115	472
197	116	470
198	116	468
199	116	467
200	117	465
201	117	463
202	117	462
203	118	460
204	118	458
205	118	457
206	118	455
207	119	453
208	119	452
209	119	450
210	119	448
211	120	447
212	120	445
213	120	443
214	121	442
215	121	440
216	121	438
217	121	437
218	122	435
219	122	434
220	122	432
221	123	431
222	123	429
223	123	428
224	123	426
225	124	425
226	124	424
227	124	422
228	125	421
229	125	419
230	125	418
231	125	416
232	126	415
233	126	414
234	126	413
235	127	411
