iter	Passed	Remaining
0	0	482
1	0	400
2	1	383
3	1	364
4	1	352
5	2	341
6	2	336
7	2	331
8	3	332
9	3	335
10	3	339
11	4	350
12	4	350
13	5	352
14	5	349
15	5	344
16	5	340
17	6	337
18	6	333
19	6	330
20	7	328
21	7	326
22	7	324
23	7	321
24	8	323
25	8	330
26	9	329
27	9	328
28	9	327
29	10	326
30	10	324
31	10	323
32	10	321
33	11	320
34	11	319
35	11	318
36	12	317
37	12	315
38	12	314
39	13	312
40	13	311
41	13	310
42	13	309
43	14	310
44	14	309
45	14	308
46	15	307
47	15	306
48	15	306
49	16	305
50	16	305
51	16	304
52	16	303
53	17	303
54	17	303
55	17	303
56	18	302
57	18	301
58	18	300
59	19	299
60	19	298
61	19	298
62	20	297
63	20	297
64	20	296
65	20	296
66	21	296
67	21	295
68	21	294
69	22	293
70	22	292
71	22	291
72	22	290
73	23	290
74	23	290
75	23	289
76	24	289
77	24	288
78	24	287
79	24	287
80	25	286
81	25	286
82	25	283
83	25	283
84	26	283
85	26	282
86	26	282
87	27	282
88	27	281
89	27	281
90	28	281
91	28	280
92	28	280
93	29	279
94	29	279
95	29	279
96	29	278
97	30	278
98	30	277
99	30	277
100	31	276
101	31	276
102	31	275
103	32	276
104	32	275
105	32	275
106	33	275
107	33	275
108	33	274
109	33	274
110	34	273
111	34	273
112	34	272
113	34	271
114	35	271
115	35	270
116	35	269
117	36	269
118	36	268
119	36	268
120	36	267
121	36	266
122	37	265
123	37	265
124	37	265
125	38	265
126	38	264
127	38	263
128	39	263
129	39	263
130	39	263
131	39	263
132	40	262
133	40	262
134	40	261
135	41	261
136	41	261
137	41	261
138	42	261
139	42	260
140	42	260
141	42	258
142	43	258
143	43	258
144	43	257
145	43	257
146	44	256
147	44	256
148	44	255
149	45	255
150	45	255
151	45	254
152	45	254
153	46	253
154	46	253
155	46	253
156	47	252
157	48	256
158	48	256
159	48	255
160	48	254
161	49	254
162	49	254
163	49	253
164	50	253
165	50	252
166	50	252
167	50	252
168	51	251
169	51	251
170	51	251
171	52	250
172	52	250
173	52	249
174	52	249
175	53	249
176	53	248
177	53	248
178	54	248
179	54	247
180	54	247
181	54	247
182	55	246
183	55	246
184	55	245
185	56	245
186	57	247
187	57	247
188	57	247
189	57	247
190	58	246
191	58	246
192	58	245
193	59	245
194	59	245
195	59	244
196	59	244
197	60	244
198	60	243
199	60	243
200	61	243
201	61	244
202	62	244
203	62	244
204	62	243
205	63	243
206	63	242
207	63	242
208	63	242
209	64	242
210	64	241
211	64	241
212	65	241
213	65	240
214	65	240
215	66	239
216	66	239
217	66	239
218	67	238
219	67	238
220	67	238
221	67	237
222	68	237
223	68	236
224	68	236
225	69	236
226	69	236
227	69	235
228	69	235
229	70	234
230	70	234
231	70	234
232	70	233
233	71	233
234	71	232
235	71	232
236	72	232
237	72	231
238	72	231
239	73	231
240	73	231
241	73	230
242	73	230
243	74	230
244	74	229
245	74	229
246	75	229
247	75	228
248	75	228
249	75	227
250	76	227
251	76	227
252	76	226
253	77	226
254	77	226
255	77	225
256	78	225
257	78	225
258	78	224
259	78	224
260	79	224
261	79	223
262	79	223
263	80	223
264	80	222
265	80	222
266	80	222
267	81	221
268	81	221
269	81	221
270	82	220
271	82	220
272	82	219
273	82	219
274	83	219
275	83	218
276	83	218
277	83	218
278	84	217
279	84	217
280	84	217
281	85	216
282	85	216
283	85	216
284	86	215
285	86	215
286	86	215
287	86	214
288	87	214
289	87	214
290	87	213
291	88	213
292	88	213
293	88	213
294	89	212
295	89	212
296	89	212
297	89	211
298	90	211
299	90	211
300	90	210
301	91	210
302	91	210
303	91	209
304	91	209
305	92	209
306	92	208
307	92	208
308	93	208
309	93	207
310	93	207
311	93	207
312	94	206
313	94	206
314	94	205
315	94	205
316	95	205
317	95	204
318	95	204
319	96	204
320	96	203
321	96	203
322	97	203
323	97	203
324	97	202
325	97	202
326	98	202
327	98	201
328	98	201
329	98	200
330	99	200
331	99	200
332	99	200
333	100	199
334	100	199
335	100	199
336	101	198
337	101	198
338	101	198
339	101	197
340	102	197
341	102	197
342	102	197
343	103	196
344	103	196
345	103	196
346	104	195
347	104	195
348	104	194
349	104	194
350	105	194
351	105	193
352	105	193
353	105	193
354	106	192
355	106	192
356	106	192
357	107	191
358	107	191
359	107	191
360	107	190
361	108	190
362	108	190
363	108	189
364	109	189
365	109	189
366	109	189
367	109	188
368	110	188
369	110	188
370	110	187
371	111	187
372	111	187
373	111	186
374	111	186
375	112	186
376	112	185
377	112	185
378	112	185
379	113	184
380	113	184
381	113	184
382	114	183
383	114	183
384	114	183
385	115	182
386	115	182
387	115	182
388	115	182
389	116	181
390	116	181
391	116	181
392	117	180
393	117	180
394	117	180
395	117	179
396	118	179
397	118	179
398	118	178
399	118	178
400	119	178
401	119	177
402	119	177
403	120	177
404	120	176
405	120	176
406	120	176
407	121	175
408	121	175
409	121	175
410	121	174
411	122	174
412	122	174
413	122	173
414	122	173
415	123	173
416	123	172
417	123	172
418	124	172
419	124	171
420	124	171
421	124	171
422	125	170
423	125	170
424	125	170
425	125	169
426	126	169
427	126	169
428	126	168
429	127	168
430	127	168
431	127	167
432	127	167
433	128	167
434	128	166
435	128	166
436	128	166
437	129	165
438	129	165
439	129	165
440	130	165
441	130	164
442	130	164
443	131	164
444	131	163
445	131	163
446	131	163
447	132	162
448	132	162
449	132	162
450	133	161
451	133	161
452	133	161
453	133	161
454	134	160
455	134	160
456	134	160
457	135	159
458	135	159
459	135	159
460	135	158
461	136	158
462	136	158
463	136	157
464	137	157
465	137	157
466	137	156
467	137	156
468	138	156
469	138	156
470	138	155
471	138	155
472	139	155
473	139	154
474	139	154
475	139	154
476	140	153
477	140	153
478	140	153
479	141	152
480	141	152
481	141	152
482	141	151
483	142	151
484	142	151
485	142	150
486	142	150
487	143	150
488	143	150
489	143	149
490	144	149
491	144	149
492	144	148
493	144	148
494	145	148
495	145	147
496	145	147
497	146	147
498	146	147
499	146	146
500	147	146
501	147	146
502	147	146
503	148	145
504	148	145
505	148	145
506	148	144
507	149	144
508	149	144
509	149	143
510	150	143
511	150	143
512	150	142
513	150	142
514	151	142
515	151	142
516	151	141
517	151	141
518	152	141
519	152	140
520	152	140
521	152	140
522	153	139
523	153	139
524	153	139
525	154	138
526	154	138
527	154	138
528	154	137
529	155	137
530	155	137
531	155	136
532	155	136
533	156	136
534	156	136
535	156	135
536	157	135
537	157	135
538	157	134
539	157	134
540	158	134
541	158	133
542	158	133
543	159	133
544	159	133
545	159	132
546	159	132
547	160	132
